State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
Qld,30908,Robina,51508,Major Cities,Quintile 3,30837,59868,54078,7
NSW,10401,Clarence Valley,50961,Inner Regional,Quintile 1,51974,101987,77040,3
Qld,31606,Sunshine Coast Hinterland,50898,Inner Regional,Quintile 3,40572,79713,71628,4
Vic,21704,Warrnambool,50888,Inner Regional,Quintile 3,42575,83664,72790,4
Qld,31903,Gympie - Cooloola,50216,Inner Regional,Quintile 1,55631,110784,91473,1
Qld,31902,Burnett,49852,Inner Regional,Quintile 1,51272,102849,85655,2
NSW,11301,Griffith - Murrumbidgee (West),49464,Outer Regional,Quintile 1,45091,91159,82314,2
NSW,12601,Pennant Hills - Epping,49288,Major Cities,Quintile 5,13165,26711,22958,10
NSW,11701,Botany,49169,Major Cities,Quintile 2,19642,39947,39736,9
Vic,20501,Baw Baw,49157,Inner Regional,Quintile 3,46036,93651,80424,2
NSW,11402,Southern Highlands,49059,Inner Regional,Quintile 4,39825,81179,63667,5
NSW,10802,Kempsey - Nambucca,49005,Outer Regional,Quintile 1,58879,120150,93938,1
Tas,60401,Burnie - Ulverstone,48581,Outer Regional,Quintile 1,45858,94396,77429,3
Vic,20202,Heathcote - Castlemaine - Kyneton,47826,Inner Regional,Quintile 3,43456,90862,75337,3
NSW,10301,Bathurst,47783,Inner Regional,Quintile 1,35894,75120,69433,4
NSW,10303,Lithgow - Mudgee,47572,Inner Regional,Quintile 1,40764,85689,71662,4
Qld,30402,Kenmore - Brookfield - Moggill,47388,Major Cities,Quintile 5,19040,40180,38158,9
Qld,31104,Jimboomba,46930,Major Cities,Quintile 3,30285,64533,80870,2
Vic,20402,Wangaratta - Benalla,46456,Inner Regional,Quintile 3,47720,102720,82734,2
Vic,20502,Gippsland - East,45537,Outer Regional,Quintile 2,48677,106895,82019,2
Qld,31905,Maryborough,45530,Inner Regional,Quintile 1,55525,121953,98369,1
SA,40103,Burnside,45464,Major Cities,Quintile 5,24303,53456,37749,9
Tas,60402,Devonport,45272,Inner Regional,Quintile 1,42327,93496,76430,3
NSW,12201,Manly,44994,Major Cities,Quintile 5,12910,28692,25843,10
Qld,30701,Darling Downs (West) - Maranoa,44959,Outer Regional,Quintile 1,33050,73511,69966,4
WA,50607,South Perth,44154,Major Cities,Quintile 5,19563,44306,38879,9
Vic,20804,Stonnington - East,43808,Major Cities,Quintile 5,16480,37618,32944,10
Qld,31607,Nambour,43662,Major Cities,Quintile 3,37499,85884,75543,3
Vic,20505,Wellington,43354,Inner Regional,Quintile 2,40729,93946,78812,2
WA,50402,Mundaring,43138,Major Cities,Quintile 4,27184,63017,57615,6
Qld,30702,Darling Downs - East,42999,Inner Regional,Quintile 2,40350,93840,82635,2
Qld,31801,Charters Towers - Ayr - Ingham,42924,Outer Regional,Quintile 2,34550,80492,68403,5
Qld,30910,Surfers Paradise,42883,Major Cities,Quintile 4,28952,67513,58214,6
