State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
NSW,10902,Lower Murray,12737,Outer Regional,Quintile 1,12530,98371,33389,995.8,1.34,80
WA,51003,West Pilbara,35434,Remote,Quintile 2,8546,24117,85409,152.6,.,54
WA,51002,East Pilbara,26001,Remote,Quintile 2,7011,26966,79725,245.2,1.04,57
Other Territories,90101,Christmas Island,1903,Remote,Quintile 2,327,17183,75647,,,
Qld,30805,Gladstone,63288,Inner Regional,Quintile 2,39120,61813,65892,411.2,0.98,74
Qld,31502,Outback - North,30688,Remote,Quintile 2,12541,40865,57208,518.4,1.4,67
Vic,21302,Hobsons Bay,88342,Major Cities,Quintile 2,50713,57405,53198,707.1,1.01,82
Qld,31202,Mackay,117703,Inner Regional,Quintile 2,71505,60750,53080,550.6,1.01,78
Qld,31201,Bowen Basin - North,34349,Outer Regional,Quintile 2,20437,59499,51604,444.8,1.09,78
Other Territories,90104,Norfolk Island,1756,Remote,Quintile 2,782,44533,51342,,,
NSW,11701,Botany,49169,Major Cities,Quintile 2,19642,39947,50730,608,1.03,79
WA,50604,Gosnells,122128,Major Cities,Quintile 2,74038,60623,50416,431.6,0.89,76
Qld,31802,Townsville,192113,Outer Regional,Quintile 2,145619,75798,50375,542.5,1.12,76
WA,50102,Bunbury,104838,Inner Regional,Quintile 2,80806,77077,50000,588.2,0.98,78
Qld,30804,Biloela,14607,Outer Regional,Quintile 2,9768,66874,49623,589.9,1,77
NSW,10704,Wollongong,133292,Major Cities,Quintile 2,86597,64968,49427,727.2,0.96,82
NSW,11601,Blacktown,139391,Major Cities,Quintile 2,65105,46707,48907,526.8,0.98,78
NSW,11103,Newcastle,169571,Major Cities,Quintile 2,102976,60728,48200,928.3,1.25,82
NSW,12302,Campbelltown (NSW),162845,Major Cities,Quintile 2,100601,61777,47592,503.2,1.12,76
SA,40201,Gawler - Two Wells,34893,Major Cities,Quintile 2,33180,95091,47525,738.8,1.05,81
SA,40401,Charles Sturt,111505,Major Cities,Quintile 2,77026,69078,46960,942.1,1.05,84
